id,title
3639,toward software-defined vehicles: from model-based engineering to virtualization-based deployment
3640,digital video source acquisition forgery technique based on pattern sensor noise extraction
3641,social relation and physical lane aggregator: integrating social and physical features for multimodal motion prediction
3642,learning semantic-agnostic and spatial-aware representation for generalizable visual-audio navigation
3643,cross-domain few-shot learning between different imaging modals for fine-grained target recognition
3644,centerformer: a center spatialspectral attention transformer network for hyperspectral image classification
3645,federated motor imagery classification for privacy-preserving brain-computer interfaces
3646,heterogeneous network-based contrastive learning method for polsar land cover classification
3647,joint sample position based noise filtering and mean shift clustering for imbalanced classification learning
3648,physical layer authentication of mimo-stbc systems based on constellation dithering
3649,dtcc: multi-level dilated convolution with transformer for weakly-supervised crowd counting
3650,ris-assisted precoding spatial modulation: optimal design and performance analysis
3651,benefits from different modes of slow and deep breathing on vagal modulation
3652,automatic pseudo-lidar annotation: generation of training data for 3d object detection networks
3653,de-unet: dual-encoder u-net for ultra-high resolution remote sensing image segmentation
3654,arbitrary oriented few-shot object detection in remote sensing images
3655,modeling and control of morphing covers for the adaptive morphology of humanoid robots
3656,flipper-style locomotion through strong expanding modular robots
3657,a multi-level multi-objective integer quadratic programming problem under pentagonal neutrosophic environment
3658,understanding synthesizable design methodologies for mixed-signal sar adc circuits
